,DateKey,event_Incident_Prediction_Rolling,MaxDate,DateDiff
419,2018-01-22,5.45,5/17/2018,115
423,2018-01-23,4.925,5/17/2018,114
427,2018-01-24,4.275,5/17/2018,113
431,2018-01-25,3.825,5/17/2018,112
435,2018-01-26,3.325,5/17/2018,111
439,2018-01-27,1.475,5/17/2018,110
443,2018-01-28,1.925,5/17/2018,109
447,2018-01-29,2.875,5/17/2018,108
451,2018-01-30,2.9,5/17/2018,107
455,2018-01-31,2.975,5/17/2018,106
459,2018-02-01,2.275,5/17/2018,105
463,2018-02-02,3.325,5/17/2018,104
467,2018-02-03,3.5,5/17/2018,103
471,2018-02-04,3.775,5/17/2018,102
475,2018-02-05,3.55,5/17/2018,101
479,2018-02-06,3.675,5/17/2018,100
483,2018-02-07,3.975,5/17/2018,99
487,2018-02-08,5,5/17/2018,98
491,2018-02-09,5,5/17/2018,97
495,2018-02-10,4.75,5/17/2018,96
499,2018-02-11,4.75,5/17/2018,95
503,2018-02-12,4.25,5/17/2018,94
507,2018-02-13,3.575,5/17/2018,93
511,2018-02-14,3.6,5/17/2018,92
515,2018-02-15,3.375,5/17/2018,91
519,2018-02-16,2.225,5/17/2018,90
523,2018-02-17,2.125,5/17/2018,89
527,2018-02-18,1.875,5/17/2018,88
531,2018-02-19,1.725,5/17/2018,87
535,2018-02-20,2.225,5/17/2018,86
539,2018-02-21,2.925,5/17/2018,85
543,2018-02-22,1.275,5/17/2018,84
547,2018-02-23,1.65,5/17/2018,83
551,2018-02-24,0.75,5/17/2018,82
554,2018-02-25,1.275,5/17/2018,81
558,2018-02-26,1.125,5/17/2018,80
562,2018-02-27,1.15,5/17/2018,79
566,2018-02-28,1.475,5/17/2018,78
570,2018-03-01,1.925,5/17/2018,77
574,2018-03-02,2.475,5/17/2018,76
578,2018-03-03,3.775,5/17/2018,75
582,2018-03-04,3.775,5/17/2018,74
586,2018-03-05,3.525,5/17/2018,73
590,2018-03-06,3.425,5/17/2018,72
594,2018-03-07,5.7,5/17/2018,71
598,2018-03-08,6.35,5/17/2018,70
602,2018-03-09,5.95,5/17/2018,69
606,2018-03-10,6.425,5/17/2018,68
610,2018-03-11,5.975,5/17/2018,67
614,2018-03-12,5.55,5/17/2018,66
618,2018-03-13,5.45,5/17/2018,65
622,2018-03-14,5.65,5/17/2018,64
626,2018-03-15,6.175,5/17/2018,63
630,2018-03-16,7.175,5/17/2018,62
634,2018-03-17,6.675,5/17/2018,61
638,2018-03-18,6.4,5/17/2018,60
642,2018-03-19,7.325,5/17/2018,59
646,2018-03-20,8.9,5/17/2018,58
650,2018-03-21,6.975,5/17/2018,57
654,2018-03-22,9.1,5/17/2018,56
658,2018-03-23,9.2,5/17/2018,55
662,2018-03-24,10.825,5/17/2018,54
666,2018-03-25,11.65,5/17/2018,53
670,2018-03-26,13.075,5/17/2018,52
674,2018-03-27,13.05,5/17/2018,51
678,2018-03-28,13.725,5/17/2018,50
682,2018-03-29,12.625,5/17/2018,49
686,2018-03-30,13.625,5/17/2018,48
690,2018-03-31,13,5/17/2018,47
694,2018-04-01,13.05,5/17/2018,46
698,2018-04-02,13,5/17/2018,45
702,2018-04-03,10.225,5/17/2018,44
706,2018-04-04,9.825,5/17/2018,43
710,2018-04-05,9.95,5/17/2018,42
714,2018-04-06,10.1,5/17/2018,41
718,2018-04-07,9.3,5/17/2018,40
722,2018-04-08,8.875,5/17/2018,39
726,2018-04-09,8.25,5/17/2018,38
730,2018-04-10,8.075,5/17/2018,37
734,2018-04-11,8.1,5/17/2018,36
738,2018-04-12,7.675,5/17/2018,35
742,2018-04-13,7.5,5/17/2018,34
746,2018-04-14,7.75,5/17/2018,33
750,2018-04-15,8,5/17/2018,32
754,2018-04-16,8.575,5/17/2018,31
758,2018-04-17,8.875,5/17/2018,30
762,2018-04-18,8.8,5/17/2018,29
766,2018-04-19,8.8,5/17/2018,28
770,2018-04-20,8.275,5/17/2018,27
774,2018-04-21,8.45,5/17/2018,26
778,2018-04-22,8.25,5/17/2018,25
782,2018-04-23,8.025,5/17/2018,24
786,2018-04-24,7.225,5/17/2018,23
790,2018-04-25,7.375,5/17/2018,22
794,2018-04-26,7.825,5/17/2018,21
798,2018-04-27,7.875,5/17/2018,20
802,2018-04-28,7.85,5/17/2018,19
806,2018-04-29,7.5,5/17/2018,18
810,2018-04-30,6.825,5/17/2018,17
814,2018-05-01,7.65,5/17/2018,16
818,2018-05-02,8.025,5/17/2018,15
822,2018-05-03,8.1,5/17/2018,14
826,2018-05-04,8.275,5/17/2018,13
830,2018-05-05,9.3,5/17/2018,12
834,2018-05-06,9.55,5/17/2018,11
838,2018-05-07,9.25,5/17/2018,10
842,2018-05-08,9.15,5/17/2018,9
846,2018-05-09,9.875,5/17/2018,8
850,2018-05-10,10.125,5/17/2018,7
854,2018-05-11,10.525,5/17/2018,6
858,2018-05-12,10.675,5/17/2018,5
861,2018-05-13,11.55,5/17/2018,4
865,2018-05-14,11.6,5/17/2018,3
869,2018-05-15,9.925,5/17/2018,2
873,2018-05-16,9.25,5/17/2018,1
877,2018-05-17,9.1,5/17/2018,0
338,2018-01-01,0.75,5/18/2018,137
342,2018-01-02,0.375,5/18/2018,136
346,2018-01-03,0.525,5/18/2018,135
350,2018-01-04,0.425,5/18/2018,134
354,2018-01-05,0.2,5/18/2018,133
358,2018-01-06,0.275,5/18/2018,132
361,2018-01-07,0.475,5/18/2018,131
364,2018-01-08,0.55,5/18/2018,130
368,2018-01-09,0.95,5/18/2018,129
372,2018-01-10,1.375,5/18/2018,128
376,2018-01-11,1.95,5/18/2018,127
380,2018-01-12,3.075,5/18/2018,126
384,2018-01-13,3.375,5/18/2018,125
387,2018-01-14,4.1,5/18/2018,124
391,2018-01-15,4.2,5/18/2018,123
395,2018-01-16,4.8,5/18/2018,122
399,2018-01-17,5.875,5/18/2018,121
403,2018-01-18,5.9,5/18/2018,120
407,2018-01-19,5.75,5/18/2018,119
411,2018-01-20,5.575,5/18/2018,118
415,2018-01-21,5.2,5/18/2018,117
419,2018-01-22,5.45,5/18/2018,116
423,2018-01-23,5,5/18/2018,115
427,2018-01-24,4.2,5/18/2018,114
431,2018-01-25,3.6,5/18/2018,113
435,2018-01-26,3.15,5/18/2018,112
439,2018-01-27,1.375,5/18/2018,111
443,2018-01-28,1.875,5/18/2018,110
447,2018-01-29,3.125,5/18/2018,109
451,2018-01-30,2.95,5/18/2018,108
455,2018-01-31,2.925,5/18/2018,107
459,2018-02-01,2.625,5/18/2018,106
463,2018-02-02,3.25,5/18/2018,105
467,2018-02-03,3.475,5/18/2018,104
471,2018-02-04,3.975,5/18/2018,103
475,2018-02-05,3.925,5/18/2018,102
479,2018-02-06,3.775,5/18/2018,101
483,2018-02-07,3.7,5/18/2018,100
487,2018-02-08,3.875,5/18/2018,99
491,2018-02-09,4.225,5/18/2018,98
495,2018-02-10,4.975,5/18/2018,97
499,2018-02-11,4.4,5/18/2018,96
503,2018-02-12,4.5,5/18/2018,95
507,2018-02-13,4.075,5/18/2018,94
511,2018-02-14,3.425,5/18/2018,93
515,2018-02-15,3.975,5/18/2018,92
519,2018-02-16,2.525,5/18/2018,91
523,2018-02-17,1.625,5/18/2018,90
527,2018-02-18,1.45,5/18/2018,89
